Index,Hogwarts House
0,Gryffindor
1,Hufflepuff
2,Ravenclaw
3,Slytherin
4,Gryffindor
5,Hufflepuff
6,Ravenclaw
7,Gryffindor
8,Gryffindor
9,Gryffindor
10,Ravenclaw
11,Slytherin
12,Slytherin
13,Hufflepuff
14,Ravenclaw
15,Ravenclaw
16,Gryffindor
17,Hufflepuff
18,Hufflepuff
19,Ravenclaw
20,Gryffindor
21,Hufflepuff
22,Ravenclaw
23,Slytherin
24,Gryffindor
25,Hufflepuff
26,Ravenclaw
27,Slytherin
28,Gryffindor
29,Ravenclaw
30,Ravenclaw
31,Slytherin
32,Gryffindor
33,Hufflepuff
34,Ravenclaw
35,Slytherin
36,Gryffindor
37,Hufflepuff
38,Ravenclaw
39,Ravenclaw
40,Gryffindor
41,Hufflepuff
42,Ravenclaw
43,Gryffindor
44,Gryffindor
45,Hufflepuff
46,Hufflepuff
47,Slytherin
48,Gryffindor
49,Slytherin
50,Ravenclaw
51,Slytherin
52,Gryffindor
53,Hufflepuff
54,Ravenclaw
55,Ravenclaw
56,Gryffindor
57,Ravenclaw
58,Ravenclaw
59,Slytherin
60,Gryffindor
61,Ravenclaw
62,Ravenclaw
63,Slytherin
64,Gryffindor
65,Ravenclaw
66,Ravenclaw
67,Slytherin
68,Slytherin
69,Ravenclaw
70,Ravenclaw
71,Gryffindor
72,Gryffindor
73,Hufflepuff
74,Ravenclaw
75,Slytherin
76,Gryffindor
77,Hufflepuff
78,Ravenclaw
79,Gryffindor
80,Gryffindor
81,Hufflepuff
82,Ravenclaw
83,Slytherin
84,Gryffindor
85,Hufflepuff
86,Ravenclaw
87,Slytherin
88,Hufflepuff
89,Hufflepuff
90,Ravenclaw
91,Slytherin
92,Slytherin
93,Hufflepuff
94,Ravenclaw
95,Slytherin
96,Gryffindor
97,Hufflepuff
98,Ravenclaw
99,Gryffindor
