PC1,PC2,Label
0.104928,0.809705,B
-1.994752,0.448151,B
0.985486,-0.157639,A
-0.814609,0.201702,B
0.500084,0.568921,A
0.155356,0.708914,B
-1.135723,-0.305769,A
1.415638,0.660644,A
0.423594,0.964094,B
0.476734,-0.863883,A
0.641659,2.424980,B
-0.217641,0.771317,B
1.448476,-0.553475,A
-1.820318,0.323376,B
1.608359,-0.978370,A
-0.695699,0.478551,B
-2.298967,-0.441255,B
1.319409,0.170387,A
1.659716,-1.249343,A
2.075031,1.752905,A
1.483593,-1.513445,A
1.439159,-2.793582,A
0.753419,0.232041,A
-1.465781,-0.282692,B
-0.741955,-1.028467,A
1.603766,1.106578,A
-0.126453,-1.722327,B
1.666590,-0.333056,A
-0.653977,2.419830,B
0.004773,0.434052,A
2.027260,0.280835,A
0.956782,-0.122737,A
3.345284,1.665640,A
0.327357,0.075341,B
1.150968,0.306281,A
-0.619976,-0.747123,B
-0.902691,-0.050097,B
1.242921,0.503304,A
0.076362,2.260594,B
1.854645,1.691131,A
2.602794,-1.346561,A
-0.614367,-1.756930,A
1.130189,0.976955,B
-1.537413,1.070215,B
1.251995,-0.335032,A
1.024821,1.598356,A
0.147738,-0.713283,A
0.074430,-1.251979,A
-1.999364,0.637719,B
2.085254,-1.146183,A
1.085603,0.994607,B
0.757735,0.098991,B
1.767553,0.166308,A
-3.387725,0.884933,B
-1.184732,-1.716891,A
1.422079,-0.242699,A
-1.343517,-0.619350,B
-0.027025,-0.565659,A
1.924638,-1.026061,A
-0.503702,2.422041,B
0.809796,-1.467278,A
0.788942,-0.139245,A
0.965470,0.387119,A
-1.880211,2.189667,B
1.156344,-2.304117,A
0.446681,0.002899,A
0.216757,-0.304827,A
-1.583615,-0.549786,B
0.077474,-0.137286,A
2.241764,-1.264543,A
1.837648,-0.546722,A
0.771472,1.018535,B
-1.360866,-0.536395,B
2.908539,1.678200,A
-3.076739,-0.831781,B
-0.004805,-0.372805,A
-0.266803,1.052446,B
1.889336,1.021342,A
1.946155,1.031376,A
-0.824071,-0.739010,A
-1.114148,1.067125,B
-0.560007,-0.541367,B
-0.082396,-0.676232,A
0.758526,-0.041337,A
-0.490269,1.687063,B
-0.314631,-0.138338,A
2.939608,1.683350,A
-0.223105,-1.897437,B
-4.181224,-0.155825,B
-1.472855,1.049784,B
1.255268,-0.104687,A
1.264121,-0.828618,A
1.529798,0.597766,A
0.286094,-0.317385,B
-1.453777,0.615236,B
0.940551,0.730302,A
0.724972,1.784457,B
-3.785813,-0.659606,B
0.359439,0.037611,A
1.448432,-0.921278,A
0.186134,1.284346,B
1.524253,0.745237,A
0.234165,-0.981025,A
-1.686118,1.878960,B
0.053277,-1.561176,A
-1.255077,1.139449,B
1.489869,-0.542115,A
-1.594131,0.331015,B
0.520348,-0.226338,A
2.168123,-0.534795,A
-0.074558,1.126098,B
-0.009416,0.091808,B
-0.989129,0.650142,B
-1.595739,-1.129674,B
-2.281998,-2.283358,B
1.275857,-1.847114,A
0.588210,-0.227339,B
-1.180276,0.079877,B
1.165319,1.406820,A
3.412432,1.976749,A
1.729009,-0.071985,A
-2.106556,1.196087,B
-1.515855,-0.288713,B
-0.778357,-0.013342,B
0.231321,0.263203,B
-0.958457,-1.451012,B
1.884875,0.133732,A
0.599881,-0.980516,A
1.526874,-0.709098,A
-1.499658,-0.470689,B
0.560993,-0.525807,A
-0.103844,0.784855,B
-0.981265,0.260007,B
-2.522221,-0.391435,B
-2.135611,0.365685,B
-1.774089,1.130483,B
-0.103080,0.643609,B
0.075178,0.551010,A
-2.144638,-1.611404,B
-3.393557,-0.049002,B
-2.521626,0.273624,B
0.714787,-0.000635,A
-1.339089,-0.350874,B
0.581983,-0.244780,A
3.985368,-1.444983,A
-0.977958,2.268703,B
-2.023512,-0.004406,B
-1.227581,-0.072045,B
-1.609508,1.822460,B
2.710405,-1.328652,A
-0.114867,1.466315,B
-0.224769,0.653115,B
-1.288664,-0.863164,A
0.097786,2.373040,B
-0.237113,1.127687,B
0.570871,-0.370736,B
-0.357100,-1.228721,A
2.340576,-1.542601,A
0.878812,-1.931422,A
0.891921,-2.525964,A
-1.899971,-1.226231,B
-1.065638,-1.080239,A
-0.180267,1.555024,B
-0.797969,-0.019986,B
-0.722785,-1.241611,A
-0.684329,-1.755063,B
0.293967,-0.169877,A
-2.873684,-1.914367,B
-1.401189,-0.831400,B
-2.718082,-0.002896,B
1.577869,0.737785,A
-1.707308,2.083448,B
-0.199237,-1.775901,A
1.525270,0.576483,A
-2.001218,1.098455,B
-0.035268,0.792780,B
1.230526,-0.018998,B
-0.763325,-0.389002,B
-0.109776,2.242996,B
0.282717,-1.472861,A
1.462349,-0.722211,A
1.837704,1.236859,A
-2.199897,2.506689,B
-2.121609,-0.369723,B
-3.434637,-0.819100,B
-1.378613,0.150098,B
-0.094578,0.265671,B
-1.849707,0.711205,B
-0.397174,-1.735839,A
1.776226,1.755222,A
-1.679684,-0.546108,B
1.750863,-1.785570,A
-2.001106,-1.867156,B
0.404065,-2.312444,A
-0.518394,-2.089677,A
2.637484,-0.898783,A
3.399722,-0.007946,A
-1.712473,0.519442,B
-0.585796,0.495504,B
0.738107,1.702242,B
