Hydrogen = position:0, number:1, small:H, molar:1.00794, electron:1
Helium = position:17, number:2, small:He, molar:4.0026, electron:2
Lithium = position:18, number:3, small:Li, molar:6.941, electron:3
Beryllium = position:19, number:4, small:Be, molar:9.012182, electron:4
Boron = position:30, number:5, small:B, molar:10.811, electron:5
Carbon = position:31, number:6, small:C, molar:12.0107, electron:6
Nitrogen = position:32, number:7, small:N, molar:14.0067, electron:7
Oxygen = position:33, number:8, small:O, molar:15.9994, electron:8
Fluorine = position:34, number:9, small:F, molar:18.998403, electron:9
Neon = position:35, number:10, small:Ne, molar:20.1797, electron:10
Sodium = position:36, number:11, small:Na, molar:22.98977, electron:11
Magnesium = position:37, number:12, small:Mg, molar:24.305, electron:12
Aluminium = position:48, number:13, small:Al, molar:26.981539, electron:13
Silicon = position:49, number:14, small:Si, molar:28.0855, electron:14
Phosphorus = position:50, number:15, small:P, molar:30.973762, electron:15
Sulfur = position:51, number:16, small:S, molar:32.065, electron:16
Chlorine = position:52, number:17, small:Cl, molar:35.453, electron:17
Argon = position:53, number:18, small:Ar, molar:39.948, electron:18
Potassium = position:54, number:19, small:K, molar:39.0983, electron:19
Calcium = position:55, number:20, small:Ca, molar:40.078, electron:20
Scandium = position:56, number:21, small:Sc, molar:44.955912, electron:21
Titanium = position:57, number:22, small:Ti, molar:47.867, electron:22
Vanadium = position:58, number:23, small:V, molar:50.9415, electron:23
Chromium = position:59, number:24, small:Cr, molar:51.9961, electron:24
Manganese = position:60, number:25, small:Mn, molar:54.938045, electron:25
Iron = position:61, number:26, small:Fe, molar:55.845, electron:26
Cobalt = position:62, number:27, small:Co, molar:58.933195, electron:27
Nickel = position:63, number:28, small:Ni, molar:58.6934, electron:28
Copper = position:64, number:29, small:Cu, molar:63.546, electron:29
Zinc = position:65, number:30, small:Zn, molar:65.38, electron:30
Gallium = position:66, number:31, small:Ga, molar:69.723, electron:31
Germanium = position:67, number:32, small:Ge, molar:72.64, electron:32
Arsenic = position:68, number:33, small:As, molar:74.9216, electron:33
Selenium = position:69, number:34, small:Se, molar:78.96, electron:34
Bromine = position:70, number:35, small:Br, molar:79.904, electron:35
Krypton = position:71, number:36, small:Kr, molar:83.798, electron:36
Rubidium = position:72, number:37, small:Rb, molar:85.4678, electron:37
Strontium = position:73, number:38, small:Sr, molar:87.62, electron:38
Yttrium = position:74, number:39, small:Y, molar:88.90585, electron:39
Zirconium = position:75, number:40, small:Zr, molar:91.224, electron:40
Niobium = position:76, number:41, small:Nb, molar:92.90638, electron:41
Molybdenum = position:77, number:42, small:Mo, molar:95.96, electron:42
Technetium = position:78, number:43, small:Tc, molar:98, electron:43
Ruthenium = position:79, number:44, small:Ru, molar:101.07, electron:44
Rhodium = position:80, number:45, small:Rh, molar:102.9055, electron:45
Palladium = position:81, number:46, small:Pd, molar:106.42, electron:46
Silver = position:82, number:47, small:Ag, molar:107.8682, electron:47
Cadmium = position:83, number:48, small:Cd, molar:112.411, electron:48
Indium = position:84, number:49, small:In, molar:114.818, electron:49
Tin = position:85, number:50, small:Sn, molar:118.71, electron:50
Antimony = position:86, number:51, small:Sb, molar:121.76, electron:51
Tellurium = position:87, number:52, small:Te, molar:127.6, electron:52
