section,item,status
toolchain,binutils,log=binutils.install.log
toolchain,gcc.stage1,log=missing
toolchain,gcc.libgcc,log=missing
toolchain,glibc,log=missing
toolchain,linux,log=missing
manifest,coreutils-9.5,tarball=ok
manifest,bash-5.2.21,tarball=ok
manifest,procps-ng-4.0.4,tarball=ok
manifest,diffutils-3.10,tarball=missing
manifest,findutils-4.10.0,tarball=missing
manifest,grep-3.11,tarball=missing
manifest,gzip-1.13,tarball=missing
manifest,make-4.4.1,tarball=missing
manifest,patch-2.7.6,tarball=missing
manifest,tar-1.35,tarball=missing
manifest,texinfo-7.1,tarball=missing
manifest,util-linux-2.40.2,tarball=missing
