issue,detail
missing_tarball,diffutils-3.10
missing_tarball,findutils-4.10.0
missing_tarball,grep-3.11
missing_tarball,gzip-1.13
missing_tarball,make-4.4.1
missing_tarball,patch-2.7.6
missing_tarball,tar-1.35
missing_tarball,texinfo-7.1
missing_tarball,util-linux-2.40.2
missing_tarball,bzip2-1.0.8
missing_tarball,xz-5.6.2
missing_tarball,zstd-1.5.6
missing_tarball,file-5.45
missing_tarball,readline-8.2
missing_tarball,m4-1.4.19
missing_tarball,bc-7.0.2
missing_tarball,flex-2.6.4
missing_tarball,ncurses-6.5
missing_tarball,gawk-5.3.0
missing_tarball,sed-4.9
missing_tarball,vim-9.1
missing_tarball,less-643
missing_tarball,iproute2-6.10.0
missing_tarball,e2fsprogs-1.47.1
missing_tarball,kmod-32
