category,item,status,path,detail
env,lfs_root,ok,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/.lfs,
toolchain,tools_bin,ok,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/.lfs/tools/bin,
toolchain,x86_64-lfs-linux-gnu-gcc,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/.lfs/tools/bin/x86_64-lfs-linux-gnu-gcc,expected
toolchain,x86_64-lfs-linux-gnu-as,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/.lfs/tools/bin/x86_64-lfs-linux-gnu-as,expected
toolchain,x86_64-lfs-linux-gnu-ld,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/.lfs/tools/bin/x86_64-lfs-linux-gnu-ld,expected
toolchain,x86_64-lfs-linux-gnu-ar,ok,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/.lfs/tools/bin/x86_64-lfs-linux-gnu-ar,
headers,glibc_stdio,ok,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/.lfs/usr/include/stdio.h,
headers,linux_version,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/.lfs/usr/include/linux/version.h,expected
toolchain,libgcc_dir,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/.lfs/tools/lib/gcc/x86_64-lfs-linux-gnu,expected
kernel,config,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/configs/linux-6.6.54.config,expected
boot,vmlinuz,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/.lfs/boot,expected vmlinuz-*
boot,initramfs,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/.lfs/boot,expected initramfs-*-ftlinux.img
boot,fstab,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/.lfs/etc/fstab,expected
boot,grub_cfg,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/.lfs/boot/grub/grub.cfg,expected
tarball,coreutils-9.5,ok,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,build_system_manifest
tarball,bash-5.2.21,ok,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,build_system_manifest
tarball,procps-ng-4.0.4,ok,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,build_system_manifest
tarball,diffutils-3.10,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,build_system_manifest
tarball,findutils-4.10.0,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,build_system_manifest
tarball,grep-3.11,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,build_system_manifest
