package,filename,status
linux,linux-6.6.54.tar.xz,ok
binutils,binutils-2.43.1.tar.xz,ok
gcc,gcc-13.2.0.tar.xz,ok
glibc,glibc-2.40.tar.xz,ok
bash,bash-5.2.21.tar.gz,ok
coreutils,coreutils-9.5.tar.xz,ok
procps-ng,procps-ng-4.0.4.tar.xz,ok
sysvinit,sysvinit-3.10.tar.xz,ok
eudev,eudev-3.2.14.tar.gz,ok
gmp,gmp-6.3.0.tar.xz,ok
mpfr,mpfr-4.2.1.tar.xz,ok
mpc,mpc-1.3.1.tar.gz,ok
zlib,zlib-1.3.1.tar.xz,ok
diffutils,diffutils-3.10.tar.xz,missing
findutils,findutils-4.10.0.tar.xz,missing
grep,grep-3.11.tar.xz,missing
gzip,gzip-1.13.tar.xz,missing
make,make-4.4.1.tar.gz,missing
patch,patch-2.7.6.tar.xz,missing
tar,tar-1.35.tar.xz,missing
texinfo,texinfo-7.1.tar.xz,missing
util-linux,util-linux-2.40.2.tar.xz,missing
