Hydrogen = position:0, number:1, small:H, molar:1.008, electron:1, row:1
Helium = position:17, number:2, small:He, molar:4.0026, electron:2, row:1
Lithium = position:0, number:3, small:Li, molar:6.94, electron:3, row:2
Beryllium = position:1, number:4, small:Be, molar:9.01218, electron:4, row:2
Boron = position:12, number:5, small:B, molar:10.81, electron:5, row:2
Carbon = position:13, number:6, small:C, molar:12.011, electron:6, row:2
Nitrogen = position:14, number:7, small:N, molar:14.007, electron:7, row:2
Oxygen = position:15, number:8, small:O, molar:15.999, electron:8, row:2
Fluorine = position:16, number:9, small:F, molar:18.9984, electron:9, row:2
Neon = position:17, number:10, small:Ne, molar:20.1798, electron:10, row:2
Sodium = position:0, number:11, small:Na, molar:22.9898, electron:11, row:3
Magnesium = position:1, number:12, small:Mg, molar:24.305, electron:12, row:3
Aluminium = position:12, number:13, small:Al, molar:26.9815, electron:13, row:3
Silicon = position:13, number:14, small:Si, molar:28.085, electron:14, row:3
Phosphorus = position:14, number:15, small:P, molar:30.9738, electron:15, row:3
Sulfur = position:15, number:16, small:S, molar:32.06, electron:16, row:3
Chlorine = position:16, number:17, small:Cl, molar:35.45, electron:17, row:3
Argon = position:17, number:18, small:Ar, molar:39.9481, electron:18, row:3
Potassium = position:0, number:19, small:K, molar:39.0983, electron:19, row:4
Calcium = position:1, number:20, small:Ca, molar:40.0784, electron:20, row:4
Scandium = position:2, number:21, small:Sc, molar:44.9559, electron:21, row:4
Titanium = position:3, number:22, small:Ti, molar:47.8671, electron:22, row:4
Vanadium = position:4, number:23, small:V, molar:50.9415, electron:23, row:4
Chromium = position:5, number:24, small:Cr, molar:51.9962, electron:24, row:4
Manganese = position:6, number:25, small:Mn, molar:54.938, electron:25, row:4
Iron = position:7, number:26, small:Fe, molar:55.8452, electron:26, row:4
Cobalt = position:8, number:27, small:Co, molar:58.9332, electron:27, row:4
Nickel = position:9, number:28, small:Ni, molar:58.6934, electron:28, row:4
Copper = position:10, number:29, small:Cu, molar:63.5463, electron:29, row:4
Zinc = position:11, number:30, small:Zn, molar:65.382, electron:30, row:4
Gallium = position:12, number:31, small:Ga, molar:69.7231, electron:31, row:4
Germanium = position:13, number:32, small:Ge, molar:72.6308, electron:32, row:4
