generated_at,suffix,badge_label,badge_state,badge_warn,badge_danger,overloaded_ratio,anomalies_count,guard_gate,guard_ok_streak,guard_no_regression,guard_gate_result,guard_ok_result,guard_no_regression_result
2025-12-25T14:04:28Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:05:11Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:06:54Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:14:57Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:15:20Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:15:39Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:19:38Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:29:26Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:38:35Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:38:59Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:43:25Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:47:19Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:47:40Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:48:06Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:51:30Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:53:24Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:53:54Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:55:11Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T14:55:34Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T15:00:41Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T15:01:28Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T15:12:29Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T15:17:42Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T15:24:45Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
2025-12-25T15:32:26Z,status_top2,metrics,alert,50.0,80.0,50.0,4,,,False,,,
